Year,Make,Model,Type,Seats,Doors
2017,Cadillac,CTS,3.6 L  PERFORMANCE Sedan,5,4
2017,Cadillac,CTS-V,6.2 L  STD Sedan,5,4
2017,Cadillac,ESCALADE,6.2 L  ESV PREMIUM SUV,8,5
2017,Cadillac,ESCALADE,6.2 L  PLATINUM SUV,7,5
2017,Cadillac,ESCALADE,6.2 L  PREMIUM SUV,7,5
2017,Cadillac,ESCALADE,6.2 L  STD SUV,7,5
2017,Cadillac,XT5,3.6 L  LUXURY SUV,5,5
2017,Cadillac,XT5,3.6 L  PREMIUM LUXURY SUV,5,5
2017,Cadillac,XT5,3.6 L  STD SUV,5,5
2017,Chevrolet,AVEO,1.6 L  LS Hatchback,5,5
2017,Chevrolet,AVEO,1.6 L  LS Sedan,5,4
2017,Chevrolet,AVEO,1.6 L  LT Hatchback,5,5
2017,Chevrolet,AVEO,1.6 L  LT Sedan,5,4
2017,Chevrolet,CAMARO,3.6 L  LT Coupe,4,2
2017,Chevrolet,CAMARO,3.6 L  LT NAVIGATION Coupe,4,2
2017,Chevrolet,CAMARO,3.6 L  LT2 50TH ANNIVERSARY Coupe,4,2
2017,Chevrolet,CAMARO,3.6 L  LT2 Convertible,4,2
2017,Chevrolet,CAMARO,3.6 L  LT2 Coupe,4,2
2017,Chevrolet,CAMARO,6.2 L  SS 50TH ANNIVERSARY Coupe,4,2
2017,Chevrolet,CAMARO,6.2 L  SS Convertible,4,2
2017,Chevrolet,CAMARO,6.2 L  SS Coupe,4,2
2017,Chevrolet,CAPTIVA,2.4 L  LT SUV,7,5
2017,Chevrolet,CAPTIVA,3.0 L  LTZ SUV,7,5
2017,Chevrolet,CORVETTE,6.2 L  2LT APPEARANCE PACK Coupe,2,2
2017,Chevrolet,CORVETTE,6.2 L  GRAND SPORT Coupe,2,2
2017,Chevrolet,CORVETTE,6.2 L  Z51 COMPETITION SEATS Coupe,2,2
2017,Chevrolet,CORVETTE,6.2 L MANUAL Z07 COMPETITION SEATS Coupe,2,2
2017,Chevrolet,CRUZE,1.8 L  LS A/W ABS Sedan,5,4
2017,Chevrolet,CRUZE,1.8 L  LS Sedan,5,4
2017,Chevrolet,CRUZE,1.8 L  LT Hatchback,5,5
2017,Chevrolet,CRUZE,1.8 L  LT Sedan,5,4
2017,Chevrolet,IMPALA,3.6 L  LT Sedan,5,4
2017,Chevrolet,IMPALA,3.6 L  LTZ Sedan,5,4
2017,Chevrolet,MALIBU,2.5 L  LS AW Sedan,5,4
2017,Chevrolet,MALIBU,2.5 L  LS Sedan,5,4
2017,Chevrolet,MALIBU,2.5 L  LT1 Sedan,5,4
2017,Chevrolet,MALIBU,2.5 L  LTZ NAVIGATION Sedan,5,4
2017,Chevrolet,MALIBU,2.5 L  LTZ Sedan,5,4
2017,Chevrolet,SILVERADO,5.3 L  1500 C/C LT2 MIDNIGHT EDITIO Pick Up Single Cab,2,2
2017,Chevrolet,SILVERADO,5.3 L  1500 CREWCAB LT2 Z71 Pick Up Double Cab,5,4
2017,Chevrolet,SILVERADO,5.3 L  1500 REG/CAB LT2 NAV Z71 Pick Up Single Cab,2,2
2017,Chevrolet,SILVERADO,6.0 L  2500 REG/CAB LONGBOX LT Pick Up Long Box,2,2
2017,Chevrolet,SILVERADO,6.2 L  1500 CREW/CAB HIGH COUNTRY Pick Up Double Cab,5,4
2017,Chevrolet,SPARK,1.4 L CVT LS Hatchback,5,5
2017,Chevrolet,SPARK,1.4 L CVT LT Hatchback,5,5
2017,Chevrolet,SUBURBAN,5.3 L  LS SUV,9,5
2017,Chevrolet,SUBURBAN,5.3 L  LT DVD NAVIGATION SUV,9,5
2017,Chevrolet,SUBURBAN,5.3 L  LT Z71 SUV,9,5
2017,Chevrolet,SUBURBAN,5.3 L  LTZ SUV,9,5
2017,Chevrolet,TAHOE,5.3 L  LS SUV,8,5
2017,Chevrolet,TAHOE,5.3 L  LS Z71 APPREARANCE PK SUV,8,5
2017,Chevrolet,TAHOE,5.3 L  LT DVD/COOL BOX SUV,8,5
2017,Chevrolet,TAHOE,5.3 L  LT MIDNIGHT EDITION SUV,9,5
2017,Chevrolet,TAHOE,5.3 L  LT SUV,9,5
2017,Chevrolet,TAHOE,5.3 L  LTZ DVD/COOL BOX/HF T/GATE SUV,8,5
2017,Chevrolet,TRAILBLAZER,3.6 L  LT SUV,7,5
2017,Chevrolet,TRAILBLAZER,3.6 L  LTZ SUV,7,5
2017,Chevrolet,TRAVERSE,3.6 L  LS SUV,8,5
2017,Chevrolet,TRAVERSE,3.6 L  LT1 SUV,8,5
2017,Chevrolet,TRAVERSE,3.6 L  LT2 SUV,8,5
2017,Chevrolet,TRAVERSE,3.6 L  LTZ SUV,7,5
2017,Chevrolet,TRAX,1.8 L  LT SUV,5,5
2017,Chevrolet,TRAX,1.8 L  LTZ SUV,5,5
2017,Dodge,CHALLENGER,3.6 L  SXT Coupe,5,2
2017,Dodge,CHALLENGER,3.6 L  SXT PLUS Coupe,5,2
2017,Dodge,CHALLENGER,3.6 L  SXT SUPER TRACK Coupe,5,2
2017,Dodge,CHALLENGER,6.2 L  HELLCAT Coupe,5,2
2017,Dodge,CHALLENGER,6.4 L  SCAT PACK Coupe,5,2
2017,Dodge,CHALLENGER,6.4 L  SRT8 Coupe,5,2
2017,Dodge,CHARGER,3.6 L  RALLYE  PLUS Sedan,5,4
2017,Dodge,CHARGER,3.6 L  SE Sedan,5,4
2017,Dodge,CHARGER,3.6 L  SXT PLUS Sedan,5,4
2017,Dodge,CHARGER,3.6 L  SXT Sedan,5,4
2017,Dodge,CHARGER,5.7 L  R/T DAYTONA Sedan,5,4
2017,Dodge,CHARGER,6.2 L  HELLCAT Sedan,5,4
2017,Dodge,CHARGER,6.4 L  R/T DAYTONA Sedan,5,4
